Ticks: 21423201, Used Memory (KiB): 382372
Ticks: 61002821, Used Memory (KiB): 399968
Ticks: 20169536, Used Memory (KiB): 382976
Ticks: 34428474, Used Memory (KiB): 391344
Ticks: 20157015, Used Memory (KiB): 395424
Ticks: 21993189, Used Memory (KiB): 375884
Ticks: 35186724, Used Memory (KiB): 396940
Ticks: 33957915, Used Memory (KiB): 398304
Ticks: 19328635, Used Memory (KiB): 386272
Ticks: 35512332, Used Memory (KiB): 383224
Ticks: 36337477, Used Memory (KiB): 395308
Ticks: 21294464, Used Memory (KiB): 392400
Ticks: 35411864, Used Memory (KiB): 391756
Ticks: 40423763, Used Memory (KiB): 396328
Ticks: 36599259, Used Memory (KiB): 404948
Ticks: 33152197, Used Memory (KiB): 395452
Ticks: 36956069, Used Memory (KiB): 390020
Ticks: 21377994, Used Memory (KiB): 385152
Ticks: 33221698, Used Memory (KiB): 391736
Ticks: 36715104, Used Memory (KiB): 393144
Ticks: 34252007, Used Memory (KiB): 396916
Ticks: 21416489, Used Memory (KiB): 390920
Ticks: 22487070, Used Memory (KiB): 370700
Ticks: 36912283, Used Memory (KiB): 386648
Ticks: 35171206, Used Memory (KiB): 398060
Ticks: 19636536, Used Memory (KiB): 375460
Ticks: 33542706, Used Memory (KiB): 391512
Ticks: 22091199, Used Memory (KiB): 379040
Ticks: 18717671, Used Memory (KiB): 390612
Ticks: 18818564, Used Memory (KiB): 386760
