Ticks: 23014986, Used Memory (KiB): 377096
Ticks: 23350694, Used Memory (KiB): 387652
Ticks: 38086301, Used Memory (KiB): 390080
Ticks: 46236423, Used Memory (KiB): 388248
Ticks: 20358268, Used Memory (KiB): 390888
Ticks: 38399776, Used Memory (KiB): 401900
Ticks: 22521121, Used Memory (KiB): 386716
Ticks: 18785508, Used Memory (KiB): 379464
Ticks: 22863200, Used Memory (KiB): 380772
Ticks: 37120102, Used Memory (KiB): 397048
Ticks: 36379806, Used Memory (KiB): 397024
Ticks: 37320286, Used Memory (KiB): 396048
Ticks: 18478819, Used Memory (KiB): 395640
Ticks: 36944480, Used Memory (KiB): 390920
Ticks: 22917907, Used Memory (KiB): 377232
Ticks: 35949372, Used Memory (KiB): 399608
Ticks: 72207251, Used Memory (KiB): 392912
Ticks: 21439481, Used Memory (KiB): 386124
Ticks: 21931834, Used Memory (KiB): 386092
Ticks: 35612626, Used Memory (KiB): 394028
Ticks: 36024988, Used Memory (KiB): 392380
Ticks: 39220370, Used Memory (KiB): 400572
Ticks: 35480205, Used Memory (KiB): 397512
Ticks: 38544634, Used Memory (KiB): 410604
Ticks: 22939405, Used Memory (KiB): 380748
Ticks: 36228666, Used Memory (KiB): 398256
Ticks: 20750842, Used Memory (KiB): 389268
Ticks: 19984435, Used Memory (KiB): 390792
Ticks: 36371317, Used Memory (KiB): 393508
Ticks: 45596380, Used Memory (KiB): 392208
