Ticks: 57357036, Used Memory (KiB): 402808
Ticks: 37783237, Used Memory (KiB): 396184
Ticks: 55873689, Used Memory (KiB): 402768
Ticks: 56639062, Used Memory (KiB): 398080
Ticks: 58280064, Used Memory (KiB): 385948
Ticks: 40608790, Used Memory (KiB): 388520
Ticks: 36714583, Used Memory (KiB): 397596
Ticks: 58739480, Used Memory (KiB): 403044
Ticks: 57408109, Used Memory (KiB): 392584
Ticks: 54258472, Used Memory (KiB): 389488
Ticks: 57355283, Used Memory (KiB): 407012
Ticks: 58712193, Used Memory (KiB): 406160
Ticks: 36900571, Used Memory (KiB): 393880
Ticks: 42939206, Used Memory (KiB): 381564
Ticks: 59123650, Used Memory (KiB): 405208
Ticks: 39251606, Used Memory (KiB): 383960
Ticks: 57049415, Used Memory (KiB): 394748
Ticks: 55068636, Used Memory (KiB): 396552
Ticks: 59478301, Used Memory (KiB): 405584
Ticks: 39761555, Used Memory (KiB): 396460
Ticks: 63297652, Used Memory (KiB): 403880
Ticks: 55760577, Used Memory (KiB): 393408
Ticks: 54375048, Used Memory (KiB): 408152
Ticks: 55332529, Used Memory (KiB): 398464
Ticks: 56413230, Used Memory (KiB): 394020
Ticks: 60833839, Used Memory (KiB): 404552
Ticks: 37204030, Used Memory (KiB): 398044
Ticks: 53748323, Used Memory (KiB): 411052
Ticks: 61510431, Used Memory (KiB): 409224
Ticks: 38209310, Used Memory (KiB): 393288
