Ticks: 64552277, Used Memory (KiB): 642176
Ticks: 34555009, Used Memory (KiB): 634476
Ticks: 54342575, Used Memory (KiB): 666228
Ticks: 58211323, Used Memory (KiB): 651440
Ticks: 52857270, Used Memory (KiB): 648768
Ticks: 36261929, Used Memory (KiB): 644724
Ticks: 34262465, Used Memory (KiB): 648728
Ticks: 33459427, Used Memory (KiB): 642044
Ticks: 34810605, Used Memory (KiB): 643740
Ticks: 48042717, Used Memory (KiB): 647080
Ticks: 33428412, Used Memory (KiB): 635220
Ticks: 33429253, Used Memory (KiB): 646588
Ticks: 33742900, Used Memory (KiB): 646288
Ticks: 34975010, Used Memory (KiB): 640492
Ticks: 35363107, Used Memory (KiB): 650848
Ticks: 35459103, Used Memory (KiB): 634012
Ticks: 37023718, Used Memory (KiB): 645464
Ticks: 41343215, Used Memory (KiB): 641164
Ticks: 41297776, Used Memory (KiB): 645976
Ticks: 34127046, Used Memory (KiB): 650700
Ticks: 93269696, Used Memory (KiB): 646188
Ticks: 55233274, Used Memory (KiB): 638448
Ticks: 35282913, Used Memory (KiB): 643668
Ticks: 33599412, Used Memory (KiB): 640584
Ticks: 37701970, Used Memory (KiB): 656800
Ticks: 33479630, Used Memory (KiB): 645308
Ticks: 34077201, Used Memory (KiB): 637940
Ticks: 39756819, Used Memory (KiB): 634104
Ticks: 39593686, Used Memory (KiB): 639972
Ticks: 34505173, Used Memory (KiB): 647296
