Ticks: 38537775, Used Memory (KiB): 421368
Ticks: 36804267, Used Memory (KiB): 431548
Ticks: 38544744, Used Memory (KiB): 435788
Ticks: 36498874, Used Memory (KiB): 435044
Ticks: 34725000, Used Memory (KiB): 435676
Ticks: 36759474, Used Memory (KiB): 426340
Ticks: 36244374, Used Memory (KiB): 438728
Ticks: 35594675, Used Memory (KiB): 439624
Ticks: 39298602, Used Memory (KiB): 435632
Ticks: 48228576, Used Memory (KiB): 446452
Ticks: 51432357, Used Memory (KiB): 445248
Ticks: 50989708, Used Memory (KiB): 441868
Ticks: 35642671, Used Memory (KiB): 429716
Ticks: 34243505, Used Memory (KiB): 436064
Ticks: 34447251, Used Memory (KiB): 446196
Ticks: 34371865, Used Memory (KiB): 427136
Ticks: 36557603, Used Memory (KiB): 436900
Ticks: 34086079, Used Memory (KiB): 431368
Ticks: 34007820, Used Memory (KiB): 431684
Ticks: 34031987, Used Memory (KiB): 434844
Ticks: 35341177, Used Memory (KiB): 427984
Ticks: 38825104, Used Memory (KiB): 436480
Ticks: 48100962, Used Memory (KiB): 446860
Ticks: 48489812, Used Memory (KiB): 443668
Ticks: 35229546, Used Memory (KiB): 431576
Ticks: 63703619, Used Memory (KiB): 440588
Ticks: 33660382, Used Memory (KiB): 428928
Ticks: 34472985, Used Memory (KiB): 430232
Ticks: 34667794, Used Memory (KiB): 435396
Ticks: 49810755, Used Memory (KiB): 444816
Ticks: 49090182, Used Memory (KiB): 446688
Ticks: 33867580, Used Memory (KiB): 430644
Ticks: 32538388, Used Memory (KiB): 430408
Ticks: 34698406, Used Memory (KiB): 430012
Ticks: 32278458, Used Memory (KiB): 439956
Ticks: 34844683, Used Memory (KiB): 433024
Ticks: 36961148, Used Memory (KiB): 435344
Ticks: 34433143, Used Memory (KiB): 442408
Ticks: 34524958, Used Memory (KiB): 438008
Ticks: 34037528, Used Memory (KiB): 432616
