Ticks: 63410370, Used Memory (KiB): 396016
Ticks: 61875785, Used Memory (KiB): 393020
Ticks: 61036878, Used Memory (KiB): 384092
Ticks: 62191525, Used Memory (KiB): 399440
Ticks: 63191798, Used Memory (KiB): 395880
Ticks: 63820101, Used Memory (KiB): 396864
Ticks: 61711762, Used Memory (KiB): 386896
Ticks: 62217732, Used Memory (KiB): 391900
Ticks: 70104040, Used Memory (KiB): 401068
Ticks: 62144250, Used Memory (KiB): 385812
Ticks: 76430848, Used Memory (KiB): 403804
Ticks: 62386262, Used Memory (KiB): 396188
Ticks: 61934194, Used Memory (KiB): 405852
Ticks: 62968985, Used Memory (KiB): 396868
Ticks: 61462078, Used Memory (KiB): 399088
Ticks: 62342034, Used Memory (KiB): 395912
Ticks: 61544377, Used Memory (KiB): 397328
Ticks: 62268167, Used Memory (KiB): 393468
Ticks: 62607207, Used Memory (KiB): 388900
Ticks: 61949333, Used Memory (KiB): 392588
Ticks: 61832701, Used Memory (KiB): 391988
Ticks: 62912606, Used Memory (KiB): 389036
Ticks: 62430353, Used Memory (KiB): 393592
Ticks: 61691197, Used Memory (KiB): 390844
Ticks: 66384647, Used Memory (KiB): 390036
Ticks: 61243898, Used Memory (KiB): 397072
Ticks: 62064922, Used Memory (KiB): 396180
Ticks: 61474565, Used Memory (KiB): 383960
Ticks: 61510583, Used Memory (KiB): 402764
Ticks: 70531548, Used Memory (KiB): 393100
Ticks: 61581118, Used Memory (KiB): 391004
Ticks: 74849029, Used Memory (KiB): 405524
Ticks: 61718374, Used Memory (KiB): 380644
Ticks: 61625803, Used Memory (KiB): 394968
Ticks: 61016117, Used Memory (KiB): 393288
Ticks: 61700769, Used Memory (KiB): 396244
Ticks: 62517983, Used Memory (KiB): 397624
Ticks: 61878953, Used Memory (KiB): 392868
Ticks: 61480876, Used Memory (KiB): 388804
Ticks: 61030795, Used Memory (KiB): 399696
