Ticks: 79692420, Used Memory (KiB): 404120
Ticks: 87827636, Used Memory (KiB): 407904
Ticks: 91995150, Used Memory (KiB): 403172
Ticks: 75987301, Used Memory (KiB): 405004
Ticks: 74362612, Used Memory (KiB): 407464
Ticks: 73992663, Used Memory (KiB): 391308
Ticks: 74745995, Used Memory (KiB): 409348
Ticks: 74038978, Used Memory (KiB): 397804
Ticks: 90450671, Used Memory (KiB): 390128
Ticks: 77046128, Used Memory (KiB): 397900
Ticks: 73515320, Used Memory (KiB): 395636
Ticks: 75297812, Used Memory (KiB): 398356
Ticks: 73824625, Used Memory (KiB): 405444
Ticks: 74362958, Used Memory (KiB): 386232
Ticks: 89427249, Used Memory (KiB): 405116
Ticks: 74369051, Used Memory (KiB): 400752
Ticks: 74603852, Used Memory (KiB): 397944
Ticks: 87761902, Used Memory (KiB): 401544
Ticks: 74411663, Used Memory (KiB): 401552
Ticks: 84786375, Used Memory (KiB): 402276
Ticks: 87208681, Used Memory (KiB): 397820
Ticks: 77554271, Used Memory (KiB): 400328
Ticks: 74520028, Used Memory (KiB): 401556
Ticks: 73999652, Used Memory (KiB): 397696
Ticks: 89907526, Used Memory (KiB): 391132
Ticks: 76680744, Used Memory (KiB): 396468
Ticks: 74594211, Used Memory (KiB): 393436
Ticks: 77731332, Used Memory (KiB): 403416
Ticks: 73772567, Used Memory (KiB): 403672
Ticks: 74493120, Used Memory (KiB): 407260
Ticks: 73333613, Used Memory (KiB): 399084
Ticks: 74796402, Used Memory (KiB): 390080
Ticks: 88313828, Used Memory (KiB): 413888
Ticks: 74166495, Used Memory (KiB): 408632
Ticks: 80899258, Used Memory (KiB): 395020
Ticks: 76916380, Used Memory (KiB): 397028
Ticks: 77052139, Used Memory (KiB): 391288
Ticks: 78059068, Used Memory (KiB): 395340
Ticks: 88584342, Used Memory (KiB): 390456
Ticks: 75824189, Used Memory (KiB): 397056
