Ticks: 40804497, Used Memory (KiB): 393452
Ticks: 36000108, Used Memory (KiB): 387408
Ticks: 35345107, Used Memory (KiB): 400520
Ticks: 35481600, Used Memory (KiB): 393552
Ticks: 34330860, Used Memory (KiB): 394668
Ticks: 34005496, Used Memory (KiB): 399096
Ticks: 35886055, Used Memory (KiB): 393956
Ticks: 36753140, Used Memory (KiB): 396508
Ticks: 36780397, Used Memory (KiB): 397560
Ticks: 38251324, Used Memory (KiB): 401460
Ticks: 35455924, Used Memory (KiB): 392136
Ticks: 35899203, Used Memory (KiB): 395200
Ticks: 34267578, Used Memory (KiB): 394528
Ticks: 33422993, Used Memory (KiB): 401560
Ticks: 35417661, Used Memory (KiB): 391908
Ticks: 33018505, Used Memory (KiB): 400676
Ticks: 35590341, Used Memory (KiB): 391504
Ticks: 36324546, Used Memory (KiB): 392656
Ticks: 48801835, Used Memory (KiB): 405572
Ticks: 34610096, Used Memory (KiB): 394360
Ticks: 36027371, Used Memory (KiB): 406692
Ticks: 35286111, Used Memory (KiB): 391016
Ticks: 35020532, Used Memory (KiB): 407216
Ticks: 32911969, Used Memory (KiB): 394104
Ticks: 34607002, Used Memory (KiB): 406036
Ticks: 36878463, Used Memory (KiB): 406384
Ticks: 36166454, Used Memory (KiB): 395848
Ticks: 35304094, Used Memory (KiB): 404560
Ticks: 35287655, Used Memory (KiB): 393424
Ticks: 36853404, Used Memory (KiB): 402192
Ticks: 43359671, Used Memory (KiB): 401620
Ticks: 38675331, Used Memory (KiB): 402432
Ticks: 42904842, Used Memory (KiB): 399404
Ticks: 36213655, Used Memory (KiB): 404620
Ticks: 37370017, Used Memory (KiB): 402916
Ticks: 38054637, Used Memory (KiB): 398668
Ticks: 38401689, Used Memory (KiB): 394988
Ticks: 36077752, Used Memory (KiB): 400688
Ticks: 37423113, Used Memory (KiB): 397928
Ticks: 36619544, Used Memory (KiB): 400064
