Ticks: 38793034, Used Memory (KiB): 399000
Ticks: 36371469, Used Memory (KiB): 395128
Ticks: 38513420, Used Memory (KiB): 395964
Ticks: 39192983, Used Memory (KiB): 411844
Ticks: 38129625, Used Memory (KiB): 399708
Ticks: 39191529, Used Memory (KiB): 405184
Ticks: 39910366, Used Memory (KiB): 397704
Ticks: 36601922, Used Memory (KiB): 410636
Ticks: 39141306, Used Memory (KiB): 397548
Ticks: 36490954, Used Memory (KiB): 410216
Ticks: 38313749, Used Memory (KiB): 398776
Ticks: 37746163, Used Memory (KiB): 396524
Ticks: 38234557, Used Memory (KiB): 414024
Ticks: 42989347, Used Memory (KiB): 407164
Ticks: 45686807, Used Memory (KiB): 411172
Ticks: 40371414, Used Memory (KiB): 404640
Ticks: 37533217, Used Memory (KiB): 400268
Ticks: 52176738, Used Memory (KiB): 407060
Ticks: 36921075, Used Memory (KiB): 394872
Ticks: 38333898, Used Memory (KiB): 398076
Ticks: 37921762, Used Memory (KiB): 400284
Ticks: 38175086, Used Memory (KiB): 399820
Ticks: 47710672, Used Memory (KiB): 409088
Ticks: 38258832, Used Memory (KiB): 401764
Ticks: 36901051, Used Memory (KiB): 406044
Ticks: 37268972, Used Memory (KiB): 412920
Ticks: 38712954, Used Memory (KiB): 404596
Ticks: 53939069, Used Memory (KiB): 408332
Ticks: 39421237, Used Memory (KiB): 401900
Ticks: 53681950, Used Memory (KiB): 411304
Ticks: 37660220, Used Memory (KiB): 411436
Ticks: 38550984, Used Memory (KiB): 416184
Ticks: 54845016, Used Memory (KiB): 397304
Ticks: 39126549, Used Memory (KiB): 397236
Ticks: 39244490, Used Memory (KiB): 398152
Ticks: 55473637, Used Memory (KiB): 412348
Ticks: 36885369, Used Memory (KiB): 403624
Ticks: 36622435, Used Memory (KiB): 410412
Ticks: 36935323, Used Memory (KiB): 399348
Ticks: 38797116, Used Memory (KiB): 393564
