Ticks: 63439194, Used Memory (KiB): 641924
Ticks: 62794697, Used Memory (KiB): 644512
Ticks: 63957640, Used Memory (KiB): 634320
Ticks: 63568237, Used Memory (KiB): 644400
Ticks: 63433321, Used Memory (KiB): 639052
Ticks: 65536066, Used Memory (KiB): 631760
Ticks: 62376534, Used Memory (KiB): 627180
Ticks: 62152373, Used Memory (KiB): 637032
Ticks: 62703631, Used Memory (KiB): 637512
Ticks: 63059065, Used Memory (KiB): 635528
Ticks: 76526989, Used Memory (KiB): 639564
Ticks: 101248785, Used Memory (KiB): 640092
Ticks: 63195709, Used Memory (KiB): 635528
Ticks: 61664488, Used Memory (KiB): 633528
Ticks: 65621868, Used Memory (KiB): 639384
Ticks: 62609584, Used Memory (KiB): 637752
Ticks: 62040434, Used Memory (KiB): 633900
Ticks: 60928687, Used Memory (KiB): 630284
Ticks: 65533488, Used Memory (KiB): 630912
Ticks: 62715099, Used Memory (KiB): 644328
Ticks: 63211160, Used Memory (KiB): 628880
Ticks: 76345237, Used Memory (KiB): 630292
Ticks: 64234984, Used Memory (KiB): 631500
Ticks: 63840936, Used Memory (KiB): 637796
Ticks: 63633539, Used Memory (KiB): 635100
Ticks: 63293099, Used Memory (KiB): 632452
Ticks: 63529823, Used Memory (KiB): 631600
Ticks: 63556558, Used Memory (KiB): 627592
Ticks: 63603260, Used Memory (KiB): 636440
Ticks: 62480795, Used Memory (KiB): 630364
Ticks: 63336498, Used Memory (KiB): 638156
Ticks: 90908050, Used Memory (KiB): 632404
Ticks: 61954947, Used Memory (KiB): 628260
Ticks: 63226654, Used Memory (KiB): 621540
Ticks: 62934444, Used Memory (KiB): 630452
Ticks: 64273227, Used Memory (KiB): 643184
Ticks: 78634182, Used Memory (KiB): 629028
Ticks: 62306830, Used Memory (KiB): 630792
Ticks: 62652939, Used Memory (KiB): 637344
Ticks: 62550828, Used Memory (KiB): 630152
