Ticks: 66343061, Used Memory (KiB): 633068
Ticks: 62947079, Used Memory (KiB): 627804
Ticks: 62706862, Used Memory (KiB): 636868
Ticks: 86131197, Used Memory (KiB): 643748
Ticks: 63615394, Used Memory (KiB): 629344
Ticks: 62755989, Used Memory (KiB): 637996
Ticks: 62318645, Used Memory (KiB): 637340
Ticks: 62799898, Used Memory (KiB): 645300
Ticks: 62987060, Used Memory (KiB): 634100
Ticks: 62649096, Used Memory (KiB): 634920
Ticks: 63019269, Used Memory (KiB): 643284
Ticks: 62969758, Used Memory (KiB): 635236
Ticks: 65059061, Used Memory (KiB): 642736
Ticks: 62412906, Used Memory (KiB): 639308
Ticks: 63790277, Used Memory (KiB): 634208
Ticks: 62395279, Used Memory (KiB): 640092
Ticks: 72251820, Used Memory (KiB): 628400
Ticks: 63441847, Used Memory (KiB): 643608
Ticks: 62889327, Used Memory (KiB): 637068
Ticks: 62780448, Used Memory (KiB): 635884
Ticks: 63440490, Used Memory (KiB): 635248
Ticks: 63233051, Used Memory (KiB): 639952
Ticks: 65853213, Used Memory (KiB): 635368
Ticks: 69031673, Used Memory (KiB): 635988
Ticks: 62564335, Used Memory (KiB): 643288
Ticks: 63512043, Used Memory (KiB): 630728
Ticks: 62954301, Used Memory (KiB): 640460
Ticks: 63594932, Used Memory (KiB): 634420
Ticks: 70282959, Used Memory (KiB): 635716
Ticks: 63673615, Used Memory (KiB): 632108
Ticks: 62627085, Used Memory (KiB): 627784
Ticks: 62371075, Used Memory (KiB): 624324
Ticks: 62531188, Used Memory (KiB): 634132
Ticks: 63293400, Used Memory (KiB): 631428
Ticks: 62132695, Used Memory (KiB): 643340
Ticks: 63364754, Used Memory (KiB): 636472
Ticks: 62647331, Used Memory (KiB): 638696
Ticks: 62783320, Used Memory (KiB): 635108
Ticks: 63843546, Used Memory (KiB): 635040
Ticks: 63457293, Used Memory (KiB): 638268
