Ticks: 55872840, Used Memory (KiB): 635148
Ticks: 54048817, Used Memory (KiB): 651592
Ticks: 55610830, Used Memory (KiB): 652480
Ticks: 54749994, Used Memory (KiB): 654236
Ticks: 56027071, Used Memory (KiB): 647240
Ticks: 55753651, Used Memory (KiB): 659996
Ticks: 57623518, Used Memory (KiB): 659516
Ticks: 53820347, Used Memory (KiB): 653128
Ticks: 54814446, Used Memory (KiB): 649620
Ticks: 69790839, Used Memory (KiB): 654564
Ticks: 56923136, Used Memory (KiB): 661796
Ticks: 55961872, Used Memory (KiB): 657936
Ticks: 64180125, Used Memory (KiB): 655244
Ticks: 70449262, Used Memory (KiB): 653416
Ticks: 65038952, Used Memory (KiB): 655600
Ticks: 55445321, Used Memory (KiB): 649624
Ticks: 55130166, Used Memory (KiB): 647992
Ticks: 58629966, Used Memory (KiB): 651260
Ticks: 59380762, Used Memory (KiB): 659936
Ticks: 57337368, Used Memory (KiB): 662932
Ticks: 56616292, Used Memory (KiB): 656068
Ticks: 67255269, Used Memory (KiB): 658680
Ticks: 55285233, Used Memory (KiB): 660360
Ticks: 69493392, Used Memory (KiB): 663276
Ticks: 56237569, Used Memory (KiB): 644460
Ticks: 55763494, Used Memory (KiB): 652492
Ticks: 55738310, Used Memory (KiB): 670260
Ticks: 54139949, Used Memory (KiB): 654848
Ticks: 57074205, Used Memory (KiB): 653784
Ticks: 67812816, Used Memory (KiB): 652964
Ticks: 69900040, Used Memory (KiB): 657860
Ticks: 55891099, Used Memory (KiB): 656692
Ticks: 56103672, Used Memory (KiB): 663120
Ticks: 56567293, Used Memory (KiB): 657048
Ticks: 55689752, Used Memory (KiB): 649464
Ticks: 56116250, Used Memory (KiB): 661572
Ticks: 72644808, Used Memory (KiB): 664664
Ticks: 81565044, Used Memory (KiB): 658216
Ticks: 58607396, Used Memory (KiB): 661876
Ticks: 55049845, Used Memory (KiB): 660936
