Ticks: 87431541, Used Memory (KiB): 2418720
Ticks: 85990895, Used Memory (KiB): 2411288
Ticks: 88165838, Used Memory (KiB): 2409008
Ticks: 85255041, Used Memory (KiB): 2418188
Ticks: 85176871, Used Memory (KiB): 2441412
Ticks: 87061527, Used Memory (KiB): 2414268
Ticks: 84951014, Used Memory (KiB): 2421120
Ticks: 85418373, Used Memory (KiB): 2426252
Ticks: 88467220, Used Memory (KiB): 2469516
Ticks: 82960993, Used Memory (KiB): 2434536
Ticks: 85175305, Used Memory (KiB): 2407732
Ticks: 85541912, Used Memory (KiB): 2450896
Ticks: 85049805, Used Memory (KiB): 2437800
Ticks: 87166962, Used Memory (KiB): 2418364
Ticks: 85620291, Used Memory (KiB): 2429132
Ticks: 82355560, Used Memory (KiB): 2439868
Ticks: 87530442, Used Memory (KiB): 2430920
Ticks: 85001502, Used Memory (KiB): 2421988
Ticks: 85260371, Used Memory (KiB): 2411928
Ticks: 86860250, Used Memory (KiB): 2386504
Ticks: 85134531, Used Memory (KiB): 2403536
Ticks: 87471534, Used Memory (KiB): 2427516
Ticks: 86109496, Used Memory (KiB): 2466140
Ticks: 85228094, Used Memory (KiB): 2447228
Ticks: 88048781, Used Memory (KiB): 2446112
Ticks: 85130287, Used Memory (KiB): 2401124
Ticks: 83040833, Used Memory (KiB): 2440784
Ticks: 89866078, Used Memory (KiB): 2430764
Ticks: 85596416, Used Memory (KiB): 2434548
Ticks: 83994909, Used Memory (KiB): 2456108
Ticks: 88238523, Used Memory (KiB): 2423676
Ticks: 82378506, Used Memory (KiB): 2428300
Ticks: 88526328, Used Memory (KiB): 2467788
Ticks: 88712172, Used Memory (KiB): 2457148
Ticks: 85306519, Used Memory (KiB): 2434588
Ticks: 86371814, Used Memory (KiB): 2419560
Ticks: 81512125, Used Memory (KiB): 2434712
Ticks: 87359641, Used Memory (KiB): 2441724
Ticks: 85372315, Used Memory (KiB): 2428748
Ticks: 85077201, Used Memory (KiB): 2453032
