Ticks: 4981128, Used Memory (KiB): 2090412
Ticks: 5087778, Used Memory (KiB): 2094320
Ticks: 4842969, Used Memory (KiB): 2095128
Ticks: 4856541, Used Memory (KiB): 2096364
Ticks: 4946481, Used Memory (KiB): 2095940
Ticks: 5121998, Used Memory (KiB): 2093824
Ticks: 4695415, Used Memory (KiB): 2095728
Ticks: 4846925, Used Memory (KiB): 2097044
Ticks: 5020267, Used Memory (KiB): 2096712
Ticks: 4970902, Used Memory (KiB): 2098944
Ticks: 4994927, Used Memory (KiB): 2097972
Ticks: 5021870, Used Memory (KiB): 2099492
Ticks: 4734017, Used Memory (KiB): 2101160
Ticks: 4997666, Used Memory (KiB): 2101652
Ticks: 4895677, Used Memory (KiB): 2099824
Ticks: 4702949, Used Memory (KiB): 2099508
Ticks: 4860385, Used Memory (KiB): 2101148
Ticks: 4988054, Used Memory (KiB): 2105596
Ticks: 4953614, Used Memory (KiB): 2102692
Ticks: 4654504, Used Memory (KiB): 2104460
Ticks: 5031849, Used Memory (KiB): 2102940
Ticks: 4803697, Used Memory (KiB): 2105076
Ticks: 5046441, Used Memory (KiB): 2108336
Ticks: 5062170, Used Memory (KiB): 2107768
Ticks: 5112117, Used Memory (KiB): 2107412
Ticks: 4919237, Used Memory (KiB): 2106988
Ticks: 5264113, Used Memory (KiB): 2106192
Ticks: 4848440, Used Memory (KiB): 2108152
Ticks: 5104609, Used Memory (KiB): 2107772
Ticks: 5111307, Used Memory (KiB): 2107520
Ticks: 4660521, Used Memory (KiB): 2109528
Ticks: 4777056, Used Memory (KiB): 2109540
Ticks: 4675831, Used Memory (KiB): 2110232
Ticks: 4894488, Used Memory (KiB): 2110876
Ticks: 4819915, Used Memory (KiB): 2113424
Ticks: 4925229, Used Memory (KiB): 2112316
Ticks: 4860010, Used Memory (KiB): 2112928
Ticks: 4923565, Used Memory (KiB): 2112684
Ticks: 5131312, Used Memory (KiB): 2113468
Ticks: 4916663, Used Memory (KiB): 2125308
