Ticks: 18237199, Used Memory (KiB): 2325068
Ticks: 20276614, Used Memory (KiB): 2326856
Ticks: 17961504, Used Memory (KiB): 2317960
Ticks: 17881881, Used Memory (KiB): 2313284
Ticks: 17970117, Used Memory (KiB): 2344716
Ticks: 19423700, Used Memory (KiB): 2354672
Ticks: 18916450, Used Memory (KiB): 2359716
Ticks: 16009919, Used Memory (KiB): 2362656
Ticks: 20892515, Used Memory (KiB): 2355536
Ticks: 19379209, Used Memory (KiB): 2366592
Ticks: 19021649, Used Memory (KiB): 2366768
Ticks: 20327125, Used Memory (KiB): 2357776
Ticks: 15688007, Used Memory (KiB): 2373772
Ticks: 17618283, Used Memory (KiB): 2381572
Ticks: 19701816, Used Memory (KiB): 2388192
Ticks: 18174257, Used Memory (KiB): 2386492
Ticks: 20204232, Used Memory (KiB): 2378476
Ticks: 18183528, Used Memory (KiB): 2373432
Ticks: 17801994, Used Memory (KiB): 2386700
Ticks: 20040642, Used Memory (KiB): 2407784
Ticks: 16135975, Used Memory (KiB): 2411388
Ticks: 18189959, Used Memory (KiB): 2382800
Ticks: 15851087, Used Memory (KiB): 2438780
Ticks: 18141876, Used Memory (KiB): 2400868
Ticks: 20218743, Used Memory (KiB): 2407548
Ticks: 16618313, Used Memory (KiB): 2394408
Ticks: 20330155, Used Memory (KiB): 2445488
Ticks: 19155039, Used Memory (KiB): 2399860
Ticks: 17907477, Used Memory (KiB): 2402576
Ticks: 18514034, Used Memory (KiB): 2395144
Ticks: 18734768, Used Memory (KiB): 2402832
Ticks: 18096523, Used Memory (KiB): 2408948
Ticks: 20949079, Used Memory (KiB): 2396072
Ticks: 18217254, Used Memory (KiB): 2404964
Ticks: 18008205, Used Memory (KiB): 2418440
Ticks: 18213516, Used Memory (KiB): 2416724
Ticks: 18722860, Used Memory (KiB): 2393632
Ticks: 20509438, Used Memory (KiB): 2404428
Ticks: 17915682, Used Memory (KiB): 2416276
Ticks: 18195267, Used Memory (KiB): 2404632
