Ticks: 19450904, Used Memory (KiB): 2309380
Ticks: 15910441, Used Memory (KiB): 2365864
Ticks: 18420551, Used Memory (KiB): 2346380
Ticks: 15676621, Used Memory (KiB): 2395920
Ticks: 15679358, Used Memory (KiB): 2380380
Ticks: 17854595, Used Memory (KiB): 2382312
Ticks: 16359510, Used Memory (KiB): 2365872
Ticks: 18435997, Used Memory (KiB): 2368384
Ticks: 20832071, Used Memory (KiB): 2357184
Ticks: 16009136, Used Memory (KiB): 2419660
Ticks: 18496860, Used Memory (KiB): 2408344
Ticks: 17165492, Used Memory (KiB): 2385536
Ticks: 17848985, Used Memory (KiB): 2381508
Ticks: 20580411, Used Memory (KiB): 2385584
Ticks: 16478046, Used Memory (KiB): 2417100
Ticks: 18465224, Used Memory (KiB): 2379352
Ticks: 19744047, Used Memory (KiB): 2398516
Ticks: 15665859, Used Memory (KiB): 2423236
Ticks: 17366390, Used Memory (KiB): 2419704
Ticks: 16717241, Used Memory (KiB): 2396936
Ticks: 18337380, Used Memory (KiB): 2389664
Ticks: 18329340, Used Memory (KiB): 2405164
Ticks: 17716748, Used Memory (KiB): 2396040
Ticks: 18795892, Used Memory (KiB): 2401824
Ticks: 18955395, Used Memory (KiB): 2440816
Ticks: 18400595, Used Memory (KiB): 2397688
Ticks: 19815797, Used Memory (KiB): 2403096
Ticks: 17838223, Used Memory (KiB): 2406116
Ticks: 18699979, Used Memory (KiB): 2402504
Ticks: 18394790, Used Memory (KiB): 2409580
Ticks: 16498628, Used Memory (KiB): 2435976
Ticks: 19917410, Used Memory (KiB): 2416032
Ticks: 18820295, Used Memory (KiB): 2408076
Ticks: 20029304, Used Memory (KiB): 2415436
Ticks: 19140577, Used Memory (KiB): 2432168
Ticks: 17831829, Used Memory (KiB): 2426508
Ticks: 19141001, Used Memory (KiB): 2416584
Ticks: 17740651, Used Memory (KiB): 2416252
Ticks: 19500657, Used Memory (KiB): 2446196
Ticks: 18517475, Used Memory (KiB): 2449160
