Ticks: 48885536, Used Memory (KiB): 2335220
Ticks: 46632306, Used Memory (KiB): 2303696
Ticks: 46674915, Used Memory (KiB): 2304408
Ticks: 47051176, Used Memory (KiB): 2301728
Ticks: 47174864, Used Memory (KiB): 2301332
Ticks: 46731795, Used Memory (KiB): 2304236
Ticks: 48633595, Used Memory (KiB): 2299768
Ticks: 45757463, Used Memory (KiB): 2302716
Ticks: 49460190, Used Memory (KiB): 2306384
Ticks: 46630511, Used Memory (KiB): 2303124
Ticks: 50176783, Used Memory (KiB): 2306848
Ticks: 46963642, Used Memory (KiB): 2303996
Ticks: 48208293, Used Memory (KiB): 2303832
Ticks: 46312176, Used Memory (KiB): 2303208
Ticks: 48204087, Used Memory (KiB): 2306504
Ticks: 47345214, Used Memory (KiB): 2309544
Ticks: 48904382, Used Memory (KiB): 2298488
Ticks: 46865149, Used Memory (KiB): 2301456
Ticks: 48272585, Used Memory (KiB): 2306276
Ticks: 46688890, Used Memory (KiB): 2301208
Ticks: 48008852, Used Memory (KiB): 2303224
Ticks: 46825029, Used Memory (KiB): 2302524
Ticks: 47530917, Used Memory (KiB): 2307440
Ticks: 46619634, Used Memory (KiB): 2303292
Ticks: 47482871, Used Memory (KiB): 2303328
Ticks: 46872725, Used Memory (KiB): 2302384
Ticks: 47870545, Used Memory (KiB): 2303164
Ticks: 46628998, Used Memory (KiB): 2309200
Ticks: 46918459, Used Memory (KiB): 2305276
Ticks: 46463208, Used Memory (KiB): 2305732
Ticks: 46152131, Used Memory (KiB): 2304208
Ticks: 46599653, Used Memory (KiB): 2302696
Ticks: 48124261, Used Memory (KiB): 2306368
Ticks: 48151329, Used Memory (KiB): 2299872
Ticks: 47668327, Used Memory (KiB): 2304736
Ticks: 46620416, Used Memory (KiB): 2312428
Ticks: 47750508, Used Memory (KiB): 2306484
Ticks: 46982824, Used Memory (KiB): 2304120
Ticks: 48214350, Used Memory (KiB): 2302148
Ticks: 46546843, Used Memory (KiB): 2303028
