Ticks: 64982982, Used Memory (KiB): 2525472
Ticks: 63983025, Used Memory (KiB): 2517836
Ticks: 63645726, Used Memory (KiB): 2520816
Ticks: 63605300, Used Memory (KiB): 2522532
Ticks: 63236150, Used Memory (KiB): 2524092
Ticks: 62080511, Used Memory (KiB): 2520032
Ticks: 62252664, Used Memory (KiB): 2521700
Ticks: 65107995, Used Memory (KiB): 2519168
Ticks: 64338392, Used Memory (KiB): 2512192
Ticks: 64429984, Used Memory (KiB): 2521184
Ticks: 65661098, Used Memory (KiB): 2520932
Ticks: 64876638, Used Memory (KiB): 2517172
Ticks: 63181821, Used Memory (KiB): 2519612
Ticks: 64392346, Used Memory (KiB): 2516448
Ticks: 62354162, Used Memory (KiB): 2526900
Ticks: 61850476, Used Memory (KiB): 2540140
Ticks: 61777823, Used Memory (KiB): 2514264
Ticks: 62179886, Used Memory (KiB): 2516068
Ticks: 63151431, Used Memory (KiB): 2521432
Ticks: 62234874, Used Memory (KiB): 2528724
Ticks: 62689405, Used Memory (KiB): 2519072
Ticks: 65281708, Used Memory (KiB): 2523116
Ticks: 65235525, Used Memory (KiB): 2520028
Ticks: 65626586, Used Memory (KiB): 2521556
Ticks: 65327935, Used Memory (KiB): 2513860
Ticks: 63558994, Used Memory (KiB): 2510960
Ticks: 62981200, Used Memory (KiB): 2533808
Ticks: 62751540, Used Memory (KiB): 2520872
Ticks: 61556545, Used Memory (KiB): 2517104
Ticks: 62783006, Used Memory (KiB): 2523432
Ticks: 63199866, Used Memory (KiB): 2517744
Ticks: 64365065, Used Memory (KiB): 2522744
Ticks: 64611283, Used Memory (KiB): 2525684
Ticks: 64741619, Used Memory (KiB): 2523276
Ticks: 66479271, Used Memory (KiB): 2511256
Ticks: 63558839, Used Memory (KiB): 2518592
Ticks: 63592599, Used Memory (KiB): 2524084
Ticks: 63922054, Used Memory (KiB): 2523152
Ticks: 61243430, Used Memory (KiB): 2534108
Ticks: 61770723, Used Memory (KiB): 2526600
